Depto,Código
Antioquia,5
Atlántico,8
Bogotá D.C.,11
Bolívar,13
Boyacá,15
Caldas,17
Caquetá,18
Cauca,19
Cesar,20
Chocó,27
Córdoba,23
Cundinamarca,25
Huila,41
La Guajira,44
Magdalena,47
Meta,50
Nariño,52
Norte de Santander,54
Quindío,63
Risaralda,66
Santander,68
Sucre,70
Tolima,73
Valle del Cauca,76
